route,airline,travel_date,booking_date,advance_window_days,fare_class,base_fare,taxes,udf,convenience_fee,total_fare,source,timestamp_collected
BLR-HYD,Akasa Air,2026-09-08,2026-08-09,30,Economy Flex,385.45,69.38,58.26,35,548.09,ixigo,2026-08-09T00:00:00+00:00
BLR-HYD,SpiceJet,2026-09-08,2026-08-09,30,Premium Economy,401.94,72.35,58.26,42,574.55,airline site,2026-08-09T00:00:00+00:00
BLR-HYD,IndiGo,2026-09-23,2026-08-09,45,Economy Flex,325.54,58.6,58.26,35,477.4,airline site,2026-08-09T00:00:00+00:00
BLR-HYD,Air India,2026-09-23,2026-08-09,45,Premium Economy,337.86,60.81,58.26,42,498.93,MakeMyTrip,2026-08-09T00:00:00+00:00
BLR-HYD,Air India Express,2026-09-23,2026-08-09,45,Economy Saver,331.55,59.68,58.26,49,498.49,Cleartrip,2026-08-09T00:00:00+00:00
BLR-HYD,Akasa Air,2026-09-23,2026-08-09,45,Economy Flex,346.22,62.32,58.26,35,501.8,ixigo,2026-08-09T00:00:00+00:00
BLR-HYD,SpiceJet,2026-09-23,2026-08-09,45,Premium Economy,346.58,62.38,58.26,42,509.22,airline site,2026-08-09T00:00:00+00:00
MAA-DEL,IndiGo,2026-08-10,2026-08-09,1,Economy Flex,1227.29,220.91,81.68,35,1564.88,MakeMyTrip,2026-08-09T00:00:00+00:00
MAA-DEL,Air India,2026-08-10,2026-08-09,1,Premium Economy,1265.97,227.87,81.68,42,1617.52,Cleartrip,2026-08-09T00:00:00+00:00
MAA-DEL,Air India Express,2026-08-10,2026-08-09,1,Economy Saver,1253.18,225.57,81.68,49,1609.43,ixigo,2026-08-09T00:00:00+00:00
MAA-DEL,Akasa Air,2026-08-10,2026-08-09,1,Economy Flex,1272.34,229.02,81.68,35,1618.04,airline site,2026-08-09T00:00:00+00:00
MAA-DEL,SpiceJet,2026-08-10,2026-08-09,1,Premium Economy,1364.75,245.66,81.68,42,1734.09,MakeMyTrip,2026-08-09T00:00:00+00:00
MAA-DEL,IndiGo,2026-08-16,2026-08-09,7,Economy Flex,1174.6,211.43,81.68,35,1502.71,MakeMyTrip,2026-08-09T00:00:00+00:00
MAA-DEL,Air India,2026-08-16,2026-08-09,7,Premium Economy,1325.58,238.6,81.68,42,1687.86,Cleartrip,2026-08-09T00:00:00+00:00
MAA-DEL,Air India Express,2026-08-16,2026-08-09,7,Economy Saver,1283.62,231.05,81.68,49,1645.35,ixigo,2026-08-09T00:00:00+00:00
MAA-DEL,Akasa Air,2026-08-16,2026-08-09,7,Economy Flex,1301.64,234.3,81.68,35,1652.62,airline site,2026-08-09T00:00:00+00:00
MAA-DEL,SpiceJet,2026-08-16,2026-08-09,7,Premium Economy,1344.55,242.02,81.68,42,1710.25,MakeMyTrip,2026-08-09T00:00:00+00:00
MAA-DEL,IndiGo,2026-08-24,2026-08-09,15,Economy Flex,935.33,168.36,81.68,35,1220.37,MakeMyTrip,2026-08-09T00:00:00+00:00
MAA-DEL,Air India,2026-08-24,2026-08-09,15,Premium Economy,1049.35,188.88,81.68,42,1361.91,Cleartrip,2026-08-09T00:00:00+00:00
MAA-DEL,Air India Express,2026-08-24,2026-08-09,15,Economy Saver,1024.11,184.34,81.68,49,1339.13,ixigo,2026-08-09T00:00:00+00:00
MAA-DEL,Akasa Air,2026-08-24,2026-08-09,15,Economy Flex,1153.53,207.64,81.68,35,1477.85,airline site,2026-08-09T00:00:00+00:00
MAA-DEL,SpiceJet,2026-08-24,2026-08-09,15,Premium Economy,1072.2,193.0,81.68,42,1388.88,MakeMyTrip,2026-08-09T00:00:00+00:00
MAA-DEL,IndiGo,2026-09-08,2026-08-09,30,Economy Flex,815.58,146.8,81.68,35,1079.06,MakeMyTrip,2026-08-09T00:00:00+00:00
MAA-DEL,Air India,2026-09-08,2026-08-09,30,Premium Economy,880.15,158.43,81.68,42,1162.26,Cleartrip,2026-08-09T00:00:00+00:00
MAA-DEL,Air India Express,2026-09-08,2026-08-09,30,Economy Saver,792.24,142.6,81.68,49,1065.52,ixigo,2026-08-09T00:00:00+00:00
MAA-DEL,Akasa Air,2026-09-08,2026-08-09,30,Economy Flex,974.84,175.47,81.68,35,1266.99,airline site,2026-08-09T00:00:00+00:00
MAA-DEL,SpiceJet,2026-09-08,2026-08-09,30,Premium Economy,911.41,164.05,81.68,42,1199.14,MakeMyTrip,2026-08-09T00:00:00+00:00
MAA-DEL,IndiGo,2026-09-23,2026-08-09,45,Economy Flex,639.26,115.07,81.68,35,871.01,MakeMyTrip,2026-08-09T00:00:00+00:00
MAA-DEL,Air India,2026-09-23,2026-08-09,45,Premium Economy,670.46,120.68,81.68,42,914.82,Cleartrip,2026-08-09T00:00:00+00:00
MAA-DEL,Air India Express,2026-09-23,2026-08-09,45,Economy Saver,695.63,125.21,81.68,49,951.52,ixigo,2026-08-09T00:00:00+00:00
MAA-DEL,Akasa Air,2026-09-23,2026-08-09,45,Economy Flex,705.04,126.91,81.68,35,948.63,airline site,2026-08-09T00:00:00+00:00
MAA-DEL,SpiceJet,2026-09-23,2026-08-09,45,Premium Economy,745.97,134.27,81.68,42,1003.92,MakeMyTrip,2026-08-09T00:00:00+00:00
DEL-BOM,IndiGo,2026-08-11,2026-08-10,1,Premium Economy,837.18,150.69,70.48,35,1093.35,airline site,2026-08-10T00:00:00+00:00
DEL-BOM,Air India,2026-08-11,2026-08-10,1,Economy Saver,910.95,163.97,70.48,42,1187.4,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-BOM,Air India Express,2026-08-11,2026-08-10,1,Economy Flex,898.16,161.67,70.48,49,1179.31,Cleartrip,2026-08-10T00:00:00+00:00
DEL-BOM,Akasa Air,2026-08-11,2026-08-10,1,Premium Economy,983.63,177.05,70.48,35,1266.16,ixigo,2026-08-10T00:00:00+00:00
DEL-BOM,SpiceJet,2026-08-11,2026-08-10,1,Economy Saver,974.11,175.34,70.48,42,1261.93,airline site,2026-08-10T00:00:00+00:00
DEL-BOM,IndiGo,2026-08-17,2026-08-10,7,Premium Economy,718.97,129.41,70.48,35,953.86,airline site,2026-08-10T00:00:00+00:00
DEL-BOM,Air India,2026-08-17,2026-08-10,7,Economy Saver,886.2,159.52,70.48,42,1158.2,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-BOM,Air India Express,2026-08-17,2026-08-10,7,Economy Flex,809.88,145.78,70.48,49,1075.14,Cleartrip,2026-08-10T00:00:00+00:00
DEL-BOM,Akasa Air,2026-08-17,2026-08-10,7,Premium Economy,909.43,163.7,70.48,35,1178.61,ixigo,2026-08-10T00:00:00+00:00
DEL-BOM,SpiceJet,2026-08-17,2026-08-10,7,Economy Saver,885.0,159.3,70.48,42,1156.78,airline site,2026-08-10T00:00:00+00:00
DEL-BOM,IndiGo,2026-08-25,2026-08-10,15,Premium Economy,743.18,133.77,70.48,35,982.43,airline site,2026-08-10T00:00:00+00:00
DEL-BOM,Air India,2026-08-25,2026-08-10,15,Economy Saver,718.64,129.36,70.48,42,960.48,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-BOM,Air India Express,2026-08-25,2026-08-10,15,Economy Flex,781.73,140.71,70.48,49,1041.92,Cleartrip,2026-08-10T00:00:00+00:00
DEL-BOM,Akasa Air,2026-08-25,2026-08-10,15,Premium Economy,779.31,140.28,70.48,35,1025.07,ixigo,2026-08-10T00:00:00+00:00
DEL-BOM,SpiceJet,2026-08-25,2026-08-10,15,Economy Saver,863.51,155.43,70.48,42,1131.42,airline site,2026-08-10T00:00:00+00:00
DEL-BOM,IndiGo,2026-09-09,2026-08-10,30,Premium Economy,609.93,109.79,70.48,35,825.2,airline site,2026-08-10T00:00:00+00:00
DEL-BOM,Air India,2026-09-09,2026-08-10,30,Economy Saver,640.31,115.26,70.48,42,868.05,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-BOM,Air India Express,2026-09-09,2026-08-10,30,Economy Flex,587.97,105.83,70.48,49,813.28,Cleartrip,2026-08-10T00:00:00+00:00
DEL-BOM,Akasa Air,2026-09-09,2026-08-10,30,Premium Economy,655.14,117.93,70.48,35,878.55,ixigo,2026-08-10T00:00:00+00:00
DEL-BOM,SpiceJet,2026-09-09,2026-08-10,30,Economy Saver,686.49,123.57,70.48,42,922.54,airline site,2026-08-10T00:00:00+00:00
DEL-BOM,IndiGo,2026-09-24,2026-08-10,45,Premium Economy,490.56,88.3,70.48,35,684.34,airline site,2026-08-10T00:00:00+00:00
DEL-BOM,Air India,2026-09-24,2026-08-10,45,Economy Saver,515.62,92.81,70.48,42,720.91,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-BOM,Air India Express,2026-09-24,2026-08-10,45,Economy Flex,507.82,91.41,70.48,49,718.71,Cleartrip,2026-08-10T00:00:00+00:00
DEL-BOM,Akasa Air,2026-09-24,2026-08-10,45,Premium Economy,527.99,95.04,70.48,35,728.51,ixigo,2026-08-10T00:00:00+00:00
DEL-BOM,SpiceJet,2026-09-24,2026-08-10,45,Economy Saver,561.61,101.09,70.48,42,775.18,airline site,2026-08-10T00:00:00+00:00
DEL-BLR,IndiGo,2026-08-11,2026-08-10,1,Premium Economy,1023.99,184.32,81.32,35,1324.63,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-BLR,Air India,2026-08-11,2026-08-10,1,Economy Saver,1216.59,218.99,81.32,42,1558.9,Cleartrip,2026-08-10T00:00:00+00:00
DEL-BLR,Air India Express,2026-08-11,2026-08-10,1,Economy Flex,1211.74,218.11,81.32,49,1560.17,ixigo,2026-08-10T00:00:00+00:00
DEL-BLR,Akasa Air,2026-08-11,2026-08-10,1,Premium Economy,1222.41,220.03,81.32,35,1558.76,airline site,2026-08-10T00:00:00+00:00
DEL-BLR,SpiceJet,2026-08-11,2026-08-10,1,Economy Saver,1341.34,241.44,81.32,42,1706.1,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-BLR,IndiGo,2026-08-17,2026-08-10,7,Premium Economy,1128.3,203.09,81.32,35,1447.71,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-BLR,Air India,2026-08-17,2026-08-10,7,Economy Saver,1163.67,209.46,81.32,42,1496.45,Cleartrip,2026-08-10T00:00:00+00:00
DEL-BLR,Air India Express,2026-08-17,2026-08-10,7,Economy Flex,1147.25,206.5,81.32,49,1484.07,ixigo,2026-08-10T00:00:00+00:00
DEL-BLR,Akasa Air,2026-08-17,2026-08-10,7,Premium Economy,1243.33,223.8,81.32,35,1583.45,airline site,2026-08-10T00:00:00+00:00
DEL-BLR,SpiceJet,2026-08-17,2026-08-10,7,Economy Saver,1286.77,231.62,81.32,42,1641.71,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-BLR,IndiGo,2026-08-25,2026-08-10,15,Premium Economy,974.38,175.39,81.32,35,1266.09,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-BLR,Air India,2026-08-25,2026-08-10,15,Economy Saver,984.86,177.27,81.32,42,1285.45,Cleartrip,2026-08-10T00:00:00+00:00
DEL-BLR,Air India Express,2026-08-25,2026-08-10,15,Economy Flex,1023.43,184.22,81.32,49,1337.97,ixigo,2026-08-10T00:00:00+00:00
DEL-BLR,Akasa Air,2026-08-25,2026-08-10,15,Premium Economy,1130.34,203.46,81.32,35,1450.12,airline site,2026-08-10T00:00:00+00:00
DEL-BLR,SpiceJet,2026-08-25,2026-08-10,15,Economy Saver,1125.23,202.54,81.32,42,1451.09,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-BLR,IndiGo,2026-09-09,2026-08-10,30,Premium Economy,770.7,138.73,81.32,35,1025.75,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-BLR,Air India,2026-09-09,2026-08-10,30,Economy Saver,776.16,139.71,81.32,42,1039.19,Cleartrip,2026-08-10T00:00:00+00:00
DEL-BLR,Air India Express,2026-09-09,2026-08-10,30,Economy Flex,891.92,160.55,81.32,49,1182.79,ixigo,2026-08-10T00:00:00+00:00
DEL-BLR,Akasa Air,2026-09-09,2026-08-10,30,Premium Economy,870.82,156.75,81.32,35,1143.89,airline site,2026-08-10T00:00:00+00:00
DEL-BLR,SpiceJet,2026-09-09,2026-08-10,30,Economy Saver,932.8,167.9,81.32,42,1224.02,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-BLR,IndiGo,2026-09-24,2026-08-10,45,Premium Economy,659.59,118.73,81.32,35,894.64,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-BLR,Air India,2026-09-24,2026-08-10,45,Economy Saver,620.14,111.63,81.32,42,855.09,Cleartrip,2026-08-10T00:00:00+00:00
DEL-BLR,Air India Express,2026-09-24,2026-08-10,45,Economy Flex,670.79,120.74,81.32,49,921.85,ixigo,2026-08-10T00:00:00+00:00
DEL-BLR,Akasa Air,2026-09-24,2026-08-10,45,Premium Economy,687.8,123.8,81.32,35,927.92,airline site,2026-08-10T00:00:00+00:00
DEL-BLR,SpiceJet,2026-09-24,2026-08-10,45,Economy Saver,723.03,130.15,81.32,42,976.5,MakeMyTrip,2026-08-10T00:00:00+00:00
BOM-BLR,IndiGo,2026-08-11,2026-08-10,1,Premium Economy,693.07,124.75,65.16,35,917.98,Cleartrip,2026-08-10T00:00:00+00:00
BOM-BLR,Air India,2026-08-11,2026-08-10,1,Economy Saver,650.13,117.02,65.16,42,874.31,ixigo,2026-08-10T00:00:00+00:00
BOM-BLR,Air India Express,2026-08-11,2026-08-10,1,Economy Flex,721.75,129.91,65.16,49,965.82,airline site,2026-08-10T00:00:00+00:00
BOM-BLR,Akasa Air,2026-08-11,2026-08-10,1,Premium Economy,757.36,136.32,65.16,35,993.84,MakeMyTrip,2026-08-10T00:00:00+00:00
BOM-BLR,SpiceJet,2026-08-11,2026-08-10,1,Economy Saver,744.65,134.04,65.16,42,985.85,Cleartrip,2026-08-10T00:00:00+00:00
BOM-BLR,IndiGo,2026-08-17,2026-08-10,7,Premium Economy,625.87,112.66,65.16,35,838.69,Cleartrip,2026-08-10T00:00:00+00:00
BOM-BLR,Air India,2026-08-17,2026-08-10,7,Economy Saver,659.25,118.66,65.16,42,885.07,ixigo,2026-08-10T00:00:00+00:00
BOM-BLR,Air India Express,2026-08-17,2026-08-10,7,Economy Flex,678.12,122.06,65.16,49,914.34,airline site,2026-08-10T00:00:00+00:00
BOM-BLR,Akasa Air,2026-08-17,2026-08-10,7,Premium Economy,704.96,126.89,65.16,35,932.01,MakeMyTrip,2026-08-10T00:00:00+00:00
BOM-BLR,SpiceJet,2026-08-17,2026-08-10,7,Economy Saver,725.28,130.55,65.16,42,962.99,Cleartrip,2026-08-10T00:00:00+00:00
BOM-BLR,IndiGo,2026-08-25,2026-08-10,15,Premium Economy,564.3,101.57,65.16,35,766.03,Cleartrip,2026-08-10T00:00:00+00:00
BOM-BLR,Air India,2026-08-25,2026-08-10,15,Economy Saver,623.4,112.21,65.16,42,842.77,ixigo,2026-08-10T00:00:00+00:00
BOM-BLR,Air India Express,2026-08-25,2026-08-10,15,Economy Flex,646.38,116.35,65.16,49,876.89,airline site,2026-08-10T00:00:00+00:00
BOM-BLR,Akasa Air,2026-08-25,2026-08-10,15,Premium Economy,642.76,115.7,65.16,35,858.62,MakeMyTrip,2026-08-10T00:00:00+00:00
BOM-BLR,SpiceJet,2026-08-25,2026-08-10,15,Economy Saver,620.21,111.64,65.16,42,839.01,Cleartrip,2026-08-10T00:00:00+00:00
BOM-BLR,IndiGo,2026-09-09,2026-08-10,30,Premium Economy,498.53,89.74,65.16,35,688.43,Cleartrip,2026-08-10T00:00:00+00:00
BOM-BLR,Air India,2026-09-09,2026-08-10,30,Economy Saver,517.48,93.15,65.16,42,717.79,ixigo,2026-08-10T00:00:00+00:00
BOM-BLR,Air India Express,2026-09-09,2026-08-10,30,Economy Flex,508.52,91.53,65.16,49,714.21,airline site,2026-08-10T00:00:00+00:00
BOM-BLR,Akasa Air,2026-09-09,2026-08-10,30,Premium Economy,535.71,96.43,65.16,35,732.3,MakeMyTrip,2026-08-10T00:00:00+00:00
BOM-BLR,SpiceJet,2026-09-09,2026-08-10,30,Economy Saver,529.71,95.35,65.16,42,732.22,Cleartrip,2026-08-10T00:00:00+00:00
BOM-BLR,IndiGo,2026-09-24,2026-08-10,45,Premium Economy,423.13,76.16,65.16,35,599.45,Cleartrip,2026-08-10T00:00:00+00:00
BOM-BLR,Air India,2026-09-24,2026-08-10,45,Economy Saver,428.19,77.07,65.16,42,612.42,ixigo,2026-08-10T00:00:00+00:00
BOM-BLR,Air India Express,2026-09-24,2026-08-10,45,Economy Flex,416.09,74.9,65.16,49,605.15,airline site,2026-08-10T00:00:00+00:00
BOM-BLR,Akasa Air,2026-09-24,2026-08-10,45,Premium Economy,450.43,81.08,65.16,35,631.67,MakeMyTrip,2026-08-10T00:00:00+00:00
BOM-BLR,SpiceJet,2026-09-24,2026-08-10,45,Economy Saver,455.06,81.91,65.16,42,644.13,Cleartrip,2026-08-10T00:00:00+00:00
DEL-CCU,IndiGo,2026-08-11,2026-08-10,1,Premium Economy,928.38,167.11,73.49,35,1203.98,ixigo,2026-08-10T00:00:00+00:00
DEL-CCU,Air India,2026-08-11,2026-08-10,1,Economy Saver,926.94,166.85,73.49,42,1209.28,airline site,2026-08-10T00:00:00+00:00
DEL-CCU,Air India Express,2026-08-11,2026-08-10,1,Economy Flex,942.97,169.73,73.49,49,1235.19,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-CCU,Akasa Air,2026-08-11,2026-08-10,1,Premium Economy,976.74,175.81,73.49,35,1261.04,Cleartrip,2026-08-10T00:00:00+00:00
DEL-CCU,SpiceJet,2026-08-11,2026-08-10,1,Economy Saver,1019.85,183.57,73.49,42,1318.91,ixigo,2026-08-10T00:00:00+00:00
DEL-CCU,IndiGo,2026-08-17,2026-08-10,7,Premium Economy,857.32,154.32,73.49,35,1120.13,ixigo,2026-08-10T00:00:00+00:00
DEL-CCU,Air India,2026-08-17,2026-08-10,7,Economy Saver,893.52,160.83,73.49,42,1169.84,airline site,2026-08-10T00:00:00+00:00
DEL-CCU,Air India Express,2026-08-17,2026-08-10,7,Economy Flex,912.04,164.17,73.49,49,1198.7,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-CCU,Akasa Air,2026-08-17,2026-08-10,7,Premium Economy,933.68,168.06,73.49,35,1210.23,Cleartrip,2026-08-10T00:00:00+00:00
DEL-CCU,SpiceJet,2026-08-17,2026-08-10,7,Economy Saver,967.37,174.13,73.49,42,1256.99,ixigo,2026-08-10T00:00:00+00:00
DEL-CCU,IndiGo,2026-08-25,2026-08-10,15,Premium Economy,866.22,155.92,73.49,35,1130.63,ixigo,2026-08-10T00:00:00+00:00
DEL-CCU,Air India,2026-08-25,2026-08-10,15,Economy Saver,789.83,142.17,73.49,42,1047.49,airline site,2026-08-10T00:00:00+00:00
DEL-CCU,Air India Express,2026-08-25,2026-08-10,15,Economy Flex,823.99,148.32,73.49,49,1094.8,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-CCU,Akasa Air,2026-08-25,2026-08-10,15,Premium Economy,990.15,178.23,73.49,35,1276.87,Cleartrip,2026-08-10T00:00:00+00:00
DEL-CCU,SpiceJet,2026-08-25,2026-08-10,15,Economy Saver,915.1,164.72,73.49,42,1195.31,ixigo,2026-08-10T00:00:00+00:00
DEL-CCU,IndiGo,2026-09-09,2026-08-10,30,Premium Economy,623.66,112.26,73.49,35,844.41,ixigo,2026-08-10T00:00:00+00:00
DEL-CCU,Air India,2026-09-09,2026-08-10,30,Economy Saver,700.35,126.06,73.49,42,941.9,airline site,2026-08-10T00:00:00+00:00
DEL-CCU,Air India Express,2026-09-09,2026-08-10,30,Economy Flex,676.18,121.71,73.49,49,920.38,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-CCU,Akasa Air,2026-09-09,2026-08-10,30,Premium Economy,747.47,134.54,73.49,35,990.5,Cleartrip,2026-08-10T00:00:00+00:00
DEL-CCU,SpiceJet,2026-09-09,2026-08-10,30,Economy Saver,737.61,132.77,73.49,42,985.87,ixigo,2026-08-10T00:00:00+00:00
DEL-CCU,IndiGo,2026-09-24,2026-08-10,45,Premium Economy,519.61,93.53,73.49,35,721.63,ixigo,2026-08-10T00:00:00+00:00
DEL-CCU,Air India,2026-09-24,2026-08-10,45,Economy Saver,571.4,102.85,73.49,42,789.74,airline site,2026-08-10T00:00:00+00:00
DEL-CCU,Air India Express,2026-09-24,2026-08-10,45,Economy Flex,568.37,102.31,73.49,49,793.17,MakeMyTrip,2026-08-10T00:00:00+00:00
DEL-CCU,Akasa Air,2026-09-24,2026-08-10,45,Premium Economy,592.12,106.58,73.49,35,807.19,Cleartrip,2026-08-10T00:00:00+00:00
DEL-CCU,SpiceJet,2026-09-24,2026-08-10,45,Economy Saver,597.16,107.49,73.49,42,820.14,ixigo,2026-08-10T00:00:00+00:00
BLR-HYD,IndiGo,2026-08-11,2026-08-10,1,Premium Economy,453.02,81.54,58.26,35,627.82,airline site,2026-08-10T00:00:00+00:00
BLR-HYD,Air India,2026-08-11,2026-08-10,1,Economy Saver,479.52,86.31,58.26,42,666.09,MakeMyTrip,2026-08-10T00:00:00+00:00
BLR-HYD,Air India Express,2026-08-11,2026-08-10,1,Economy Flex,500.67,90.12,58.26,49,698.05,Cleartrip,2026-08-10T00:00:00+00:00
BLR-HYD,Akasa Air,2026-08-11,2026-08-10,1,Premium Economy,496.86,89.43,58.26,35,679.55,ixigo,2026-08-10T00:00:00+00:00
BLR-HYD,SpiceJet,2026-08-11,2026-08-10,1,Economy Saver,535.63,96.41,58.26,42,732.3,airline site,2026-08-10T00:00:00+00:00
BLR-HYD,IndiGo,2026-08-17,2026-08-10,7,Premium Economy,451.24,81.22,58.26,35,625.72,airline site,2026-08-10T00:00:00+00:00
BLR-HYD,Air India,2026-08-17,2026-08-10,7,Economy Saver,454.48,81.81,58.26,42,636.55,MakeMyTrip,2026-08-10T00:00:00+00:00
BLR-HYD,Air India Express,2026-08-17,2026-08-10,7,Economy Flex,466.19,83.91,58.26,49,657.36,Cleartrip,2026-08-10T00:00:00+00:00
BLR-HYD,Akasa Air,2026-08-17,2026-08-10,7,Premium Economy,475.76,85.64,58.26,35,654.66,ixigo,2026-08-10T00:00:00+00:00
BLR-HYD,SpiceJet,2026-08-17,2026-08-10,7,Economy Saver,466.27,83.93,58.26,42,650.46,airline site,2026-08-10T00:00:00+00:00
BLR-HYD,IndiGo,2026-08-25,2026-08-10,15,Premium Economy,415.29,74.75,58.26,35,583.3,airline site,2026-08-10T00:00:00+00:00
BLR-HYD,Air India,2026-08-25,2026-08-10,15,Economy Saver,428.7,77.17,58.26,42,606.13,MakeMyTrip,2026-08-10T00:00:00+00:00
BLR-HYD,Air India Express,2026-08-25,2026-08-10,15,Economy Flex,430.92,77.57,58.26,49,615.75,Cleartrip,2026-08-10T00:00:00+00:00
BLR-HYD,Akasa Air,2026-08-25,2026-08-10,15,Premium Economy,450.11,81.02,58.26,35,624.39,ixigo,2026-08-10T00:00:00+00:00
BLR-HYD,SpiceJet,2026-08-25,2026-08-10,15,Economy Saver,455.95,82.07,58.26,42,638.28,airline site,2026-08-10T00:00:00+00:00
BLR-HYD,IndiGo,2026-09-09,2026-08-10,30,Premium Economy,377.16,67.89,58.26,35,538.31,airline site,2026-08-10T00:00:00+00:00
BLR-HYD,Air India,2026-09-09,2026-08-10,30,Economy Saver,384.1,69.14,58.26,42,553.5,MakeMyTrip,2026-08-10T00:00:00+00:00
BLR-HYD,Air India Express,2026-09-09,2026-08-10,30,Economy Flex,387.33,69.72,58.26,49,564.31,Cleartrip,2026-08-10T00:00:00+00:00
BLR-HYD,Akasa Air,2026-09-09,2026-08-10,30,Premium Economy,379.95,68.39,58.26,35,541.6,ixigo,2026-08-10T00:00:00+00:00
BLR-HYD,SpiceJet,2026-09-09,2026-08-10,30,Economy Saver,419.29,75.47,58.26,42,595.02,airline site,2026-08-10T00:00:00+00:00
BLR-HYD,IndiGo,2026-09-24,2026-08-10,45,Premium Economy,323.94,58.31,58.26,35,475.51,airline site,2026-08-10T00:00:00+00:00
BLR-HYD,Air India,2026-09-24,2026-08-10,45,Economy Saver,329.65,59.34,58.26,42,489.25,MakeMyTrip,2026-08-10T00:00:00+00:00
BLR-HYD,Air India Express,2026-09-24,2026-08-10,45,Economy Flex,333.26,59.99,58.26,49,500.51,Cleartrip,2026-08-10T00:00:00+00:00
BLR-HYD,Akasa Air,2026-09-24,2026-08-10,45,Premium Economy,337.52,60.75,58.26,35,491.53,ixigo,2026-08-10T00:00:00+00:00
BLR-HYD,SpiceJet,2026-09-24,2026-08-10,45,Economy Saver,357.42,64.34,58.26,42,522.02,airline site,2026-08-10T00:00:00+00:00
MAA-DEL,IndiGo,2026-08-11,2026-08-10,1,Premium Economy,1221.86,219.93,81.68,35,1558.47,MakeMyTrip,2026-08-10T00:00:00+00:00
MAA-DEL,Air India,2026-08-11,2026-08-10,1,Economy Saver,1220.28,219.65,81.68,42,1563.61,Cleartrip,2026-08-10T00:00:00+00:00
MAA-DEL,Air India Express,2026-08-11,2026-08-10,1,Economy Flex,1235.99,222.48,81.68,49,1589.15,ixigo,2026-08-10T00:00:00+00:00
MAA-DEL,Akasa Air,2026-08-11,2026-08-10,1,Premium Economy,1324.35,238.38,81.68,35,1679.41,airline site,2026-08-10T00:00:00+00:00
MAA-DEL,SpiceJet,2026-08-11,2026-08-10,1,Economy Saver,1338.12,240.86,81.68,42,1702.66,MakeMyTrip,2026-08-10T00:00:00+00:00
MAA-DEL,IndiGo,2026-08-17,2026-08-10,7,Premium Economy,1071.32,192.84,81.68,35,1380.84,MakeMyTrip,2026-08-10T00:00:00+00:00
MAA-DEL,Air India,2026-08-17,2026-08-10,7,Economy Saver,1139.58,205.12,81.68,42,1468.38,Cleartrip,2026-08-10T00:00:00+00:00
MAA-DEL,Air India Express,2026-08-17,2026-08-10,7,Economy Flex,1141.98,205.56,81.68,49,1478.22,ixigo,2026-08-10T00:00:00+00:00
MAA-DEL,Akasa Air,2026-08-17,2026-08-10,7,Premium Economy,1221.12,219.8,81.68,35,1557.6,airline site,2026-08-10T00:00:00+00:00
MAA-DEL,SpiceJet,2026-08-17,2026-08-10,7,Economy Saver,1261.31,227.04,81.68,42,1612.03,MakeMyTrip,2026-08-10T00:00:00+00:00
MAA-DEL,IndiGo,2026-08-25,2026-08-10,15,Premium Economy,1012.41,182.23,81.68,35,1311.32,MakeMyTrip,2026-08-10T00:00:00+00:00
MAA-DEL,Air India,2026-08-25,2026-08-10,15,Economy Saver,997.0,179.46,81.68,42,1300.14,Cleartrip,2026-08-10T00:00:00+00:00
MAA-DEL,Air India Express,2026-08-25,2026-08-10,15,Economy Flex,1095.42,197.18,81.68,49,1423.28,ixigo,2026-08-10T00:00:00+00:00
MAA-DEL,Akasa Air,2026-08-25,2026-08-10,15,Premium Economy,1055.96,190.07,81.68,35,1362.71,airline site,2026-08-10T00:00:00+00:00
MAA-DEL,SpiceJet,2026-08-25,2026-08-10,15,Economy Saver,1108.77,199.58,81.68,42,1432.03,MakeMyTrip,2026-08-10T00:00:00+00:00
MAA-DEL,IndiGo,2026-09-09,2026-08-10,30,Premium Economy,794.06,142.93,81.68,35,1053.67,MakeMyTrip,2026-08-10T00:00:00+00:00
MAA-DEL,Air India,2026-09-09,2026-08-10,30,Economy Saver,803.69,144.66,81.68,42,1072.03,Cleartrip,2026-08-10T00:00:00+00:00
MAA-DEL,Air India Express,2026-09-09,2026-08-10,30,Economy Flex,906.32,163.14,81.68,49,1200.14,ixigo,2026-08-10T00:00:00+00:00
MAA-DEL,Akasa Air,2026-09-09,2026-08-10,30,Premium Economy,862.47,155.24,81.68,35,1134.39,airline site,2026-08-10T00:00:00+00:00
